IID	ChipType
7231	chip_Illumina_GSAs
7393	chip_Illumina_GSAs
7258	chip_Illumina_GSAs
7446	chip_Illumina_GSAs
7783	chip_Illumina_GSAs
8393	chip_Illumina_GSAs
8046	chip_Illumina_GSAs
8041	chip_Illumina_GSAs
8134	chip_Illumina_GSAs
8184	chip_Illumina_GSAs
7948	chip_Illumina_GSAs
8060	chip_Illumina_GSAs
8383	chip_Illumina_GSAs
7945	chip_Illumina_GSAs
8217	chip_Illumina_GSAs
8336	chip_Illumina_GSAs
7968	chip_Illumina_GSAs
7787	chip_Illumina_GSAs
7905	chip_Illumina_GSAs
8237	chip_Illumina_GSAs
7700	chip_Illumina_GSAs
7685	chip_Illumina_GSAs
7898	chip_Illumina_GSAs
7929	chip_Illumina_GSAs
7711	chip_Illumina_GSAs
8266	chip_Illumina_GSAs
8138	chip_Illumina_GSAs
7841	chip_Illumina_GSAs
8206	chip_Illumina_GSAs
8135	chip_Illumina_GSAs
8417	chip_Illumina_GSAs
7639	chip_Illumina_GSAs
8089	chip_Illumina_GSAs
8120	chip_Illumina_GSAs
7923	chip_Illumina_GSAs
7657	chip_Illumina_GSAs
7824	chip_Illumina_GSAs
8100	chip_Illumina_GSAs
8058	chip_Illumina_GSAs
7967	chip_Illumina_GSAs
8178	chip_Illumina_GSAs
8076	chip_Illumina_GSAs
7992	chip_Illumina_GSAs
8314	chip_Illumina_GSAs
8291	chip_Illumina_GSAs
8155	chip_Illumina_GSAs
8238	chip_Illumina_GSAs
8246	chip_Illumina_GSAs
7915	chip_Illumina_GSAs
8073	chip_Illumina_GSAs
8554	chip_Illumina_GSAs
8783	chip_Illumina_GSAs
8594	chip_Illumina_GSAs
8675	chip_Illumina_GSAs
9248	chip_Illumina_GSAs
9135	chip_Illumina_GSAs
8734	chip_Illumina_GSAs
8598	chip_Illumina_GSAs
8864	chip_Illumina_GSAs
9187	chip_Illumina_GSAs
9076	chip_Illumina_GSAs
9211	chip_Illumina_GSAs
8463	chip_Illumina_GSAs
8729	chip_Illumina_GSAs
9215	chip_Illumina_GSAs
8985	chip_Illumina_GSAs
8936	chip_Illumina_GSAs
8803	chip_Illumina_GSAs
9246	chip_Illumina_GSAs
9024	chip_Illumina_GSAs
9133	chip_Illumina_GSAs
8840	chip_Illumina_GSAs
9158	chip_Illumina_GSAs
8449	chip_Illumina_GSAs
8787	chip_Illumina_GSAs
8988	chip_Illumina_GSAs
9174	chip_Illumina_GSAs
8808	chip_Illumina_GSAs
8632	chip_Illumina_GSAs
8483	chip_Illumina_GSAs
8423	chip_Illumina_GSAs
8911	chip_Illumina_GSAs
8934	chip_Illumina_GSAs
8635	chip_Illumina_GSAs
9101	chip_Illumina_GSAs
9119	chip_Illumina_GSAs
8851	chip_Illumina_GSAs
8852	chip_Illumina_GSAs
9220	chip_Illumina_GSAs
8818	chip_Illumina_GSAs
8731	chip_Illumina_GSAs
9072	chip_Illumina_GSAs
8905	chip_Illumina_GSAs
8788	chip_Illumina_GSAs
9112	chip_Illumina_GSAs
8599	chip_Illumina_GSAs
9188	chip_Illumina_GSAs
9720	chip_Illumina_GSAs
9635	chip_Illumina_GSAs
