3531	3531
3532	3532
3543	3543
3547	3547
3569	3569
3582	3582
3598	3598
36	36
3605	3605
3611	3611
3622	3622
3625	3625
363	363
3639	3639
3642	3642
3643	3643
3644	3644
3655	3655
366	366
368	368
3682	3682
3689	3689
3695	3695
3724	3724
3728	3728
3747	3747
3766	3766
3777	3777
3780	3780
3786	3786
3788	3788
38	38
380	380
3821	3821
3834	3834
3835	3835
3847	3847
3853	3853
3862	3862
3865	3865
3866	3866
3881	3881
3882	3882
3883	3883
3905	3905
3908	3908
3913	3913
3921	3921
3923	3923
3935	3935
3942	3942
3948	3948
3954	3954
3964	3964
3967	3967
397	397
3979	3979
3988	3988
3990	3990
3992	3992
4009	4009
4018	4018
4029	4029
4030	4030
4032	4032
4036	4036
4048	4048
4055	4055
4056	4056
4066	4066
4067	4067
4080	4080
4084	4084
4095	4095
4106	4106
411	411
4127	4127
4143	4143
4147	4147
4159	4159
4173	4173
4178	4178
4181	4181
4185	4185
4194	4194
42	42
420	420
4200	4200
4212	4212
4215	4215
4230	4230
4240	4240
4245	4245
4248	4248
4251	4251
4258	4258
4290	4290
4346	4346
4356	4356
4359	4359
437	437
439	439
4399	4399
441	441
4411	4411
4441	4441
4463	4463
4482	4482
4498	4498
4499	4499
4507	4507
4532	4532
4539	4539
4549	4549
4569	4569
4580	4580
4594	4594
4605	4605
4621	4621
463	463
4632	4632
4643	4643
4646	4646
4648	4648
466	466
4671	4671
4672	4672
4679	4679
468	468
4680	4680
4693	4693
4694	4694
4695	4695
4712	4712
4715	4715
473	473
4735	4735
4756	4756
4784	4784
4797	4797
4801	4801
481	481
4814	4814
4825	4825
4833	4833
4837	4837
4859	4859
4879	4879
4888	4888
4895	4895
4897	4897
4927	4927
4932	4932
4935	4935
4941	4941
4943	4943
495	495
4962	4962
497	497
4983	4983
4990	4990
4996	4996
4998	4998
4999	4999
500	500
502	502
5027	5027
503	503
5041	5041
5044	5044
5048	5048
5049	5049
5073	5073
5105	5105
5107	5107
5130	5130
5144	5144
5145	5145
5146	5146
5154	5154
5155	5155
5164	5164
5167	5167
5168	5168
5172	5172
5182	5182
5190	5190
5207	5207
5218	5218
5221	5221
5223	5223
5233	5233
5235	5235
5236	5236
5246	5246
5249	5249
5257	5257
5263	5263
5273	5273
5274	5274
5276	5276
5284	5284
5288	5288
5293	5293
53	53
5310	5310
5326	5326
533	533
5332	5332
5342	5342
5351	5351
5359	5359
539	539
5397	5397
5408	5408
5414	5414
5425	5425
5432	5432
5442	5442
5443	5443
5447	5447
5456	5456
5460	5460
5478	5478
5487	5487
549	549
5490	5490
5494	5494
5495	5495
55	55
5501	5501
5515	5515
5531	5531
5536	5536
554	554
5540	5540
5545	5545
5557	5557
5568	5568
5570	5570
5581	5581
5582	5582
5602	5602
561	561
5612	5612
5613	5613
5620	5620
5628	5628
5629	5629
563	563
5637	5637
5659	5659
567	567
5675	5675
5701	5701
5709	5709
5719	5719
5723	5723
5728	5728
574	574
5741	5741
5743	5743
5745	5745
5790	5790
58	58
5800	5800
5803	5803
581	581
5815	5815
5820	5820
5821	5821
583	583
5830	5830
5833	5833
5850	5850
5866	5866
5872	5872
5884	5884
589	589
5892	5892
5900	5900
5902	5902
5917	5917
5924	5924
5935	5935
5943	5943
595	595
5961	5961
5965	5965
5996	5996
5999	5999
60	60
6005	6005
6013	6013
602	602
6020	6020
6025	6025
6035	6035
6042	6042
6045	6045
6064	6064
607	607
6077	6077
609	609
6099	6099
6103	6103
6105	6105
6115	6115
6117	6117
6120	6120
6127	6127
613	613
6131	6131
6169	6169
6179	6179
6189	6189
6192	6192
62	62
6204	6204
6206	6206
6214	6214
6216	6216
6221	6221
6238	6238
6239	6239
6244	6244
6248	6248
6250	6250
6252	6252
6257	6257
6263	6263
6269	6269
6274	6274
6284	6284
6285	6285
6296	6296
63	63
6335	6335
6341	6341
6351	6351
6356	6356
6367	6367
6381	6381
64	64
644	644
645	645
6450	6450
646	646
6484	6484
6491	6491
650	650
6544	6544
6633	6633
6634	6634
667	667
669	669
6690	6690
6706	6706
6721	6721
6733	6733
6758	6758
678	678
6780	6780
6814	6814
682	682
6832	6832
684	684
685	685
6858	6858
6860	6860
6861	6861
6875	6875
6897	6897
6916	6916
6927	6927
6928	6928
693	693
6934	6934
6971	6971
6989	6989
6993	6993
7011	7011
7014	7014
7020	7020
7028	7028
704	704
7055	7055
7070	7070
7089	7089
7099	7099
7103	7103
7155	7155
7156	7156
717	717
7184	7184
7190	7190
721	721
7214	7214
722	722
7224	7224
7228	7228
7244	7244
7257	7257
726	726
7285	7285
7297	7297
7322	7322
7345	7345
7360	7360
74	74
7403	7403
7405	7405
7413	7413
745	745
7454	7454
7470	7470
7471	7471
7475	7475
748	748
749	749
7498	7498
75	75
7510	7510
7520	7520
754	754
7544	7544
7547	7547
7561	7561
7565	7565
7567	7567
7568	7568
7569	7569
758	758
761	761
762	762
7622	7622
763	763
7636	7636
7670	7670
7693	7693
7707	7707
775	775
7753	7753
7757	7757
7759	7759
776	776
7763	7763
777	777
7781	7781
7785	7785
779	779
7798	7798
7800	7800
781	781
7842	7842
7854	7854
7857	7857
7876	7876
7888	7888
7907	7907
792	792
7931	7931
7959	7959
798	798
7981	7981
7989	7989
799	799
8	8
8056	8056
806	806
807	807
808	808
8090	8090
81	81
811	811
8129	8129
813	813
8139	8139
816	816
8180	8180
820	820
8202	8202
8204	8204
8304	8304
8318	8318
8319	8319
8352	8352
836	836
8360	8360
8363	8363
8387	8387
839	839
8403	8403
8415	8415
8416	8416
842	842
845	845
8466	8466
8476	8476
850	850
8529	8529
8534	8534
8538	8538
854	854
8546	8546
8563	8563
8565	8565
8578	8578
8588	8588
8619	8619
862	862
865	865
8656	8656
8666	8666
8701	8701
8723	8723
8737	8737
8747	8747
8766	8766
8834	8834
8844	8844
887	887
8874	8874
8883	8883
891	891
8939	8939
8947	8947
898	898
90	90
9023	9023
903	903
9039	9039
9046	9046
9078	9078
9081	9081
909	909
9111	9111
912	912
9126	9126
9129	9129
9143	9143
915	915
916	916
9164	9164
9166	9166
9172	9172
918	918
9185	9185
920	920
9217	9217
9218	9218
922	922
9232	9232
9243	9243
9247	9247
925	925
926	926
9262	9262
9277	9277
9281	9281
9283	9283
9314	9314
9323	9323
9327	9327
9366	9366
9413	9413
9427	9427
943	943
9430	9430
9480	9480
9486	9486
949	949
951	951
9519	9519
952	952
954	954
9541	9541
9656	9656
966	966
968	968
972	972
9749	9749
9752	9752
9762	9762
9765	9765
9781	9781
9784	9784
9817	9817
9832	9832
9835	9835
9839	9839
9849	9849
9862	9862
9876	9876
99	99
990	990
9906	9906
9928	9928
9974	9974
999	999
